,Bulter,,,,,,,,SOE(Indonesia),,,,,,,,Cold Brew (Hello World),,,,,,,,Filter (Ethiopia Guji Sakicha Natural),,,,,,,,
,Weigh in,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Weigh in,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Weigh in,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Weigh in,Drip volume,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark
2021/10/1,19,40,2.1,9.08,10.96,19.1,21/9,dark chocolate,20,46,2.3,8.49,10.28,19.527,7/9,"Sour plum, orange peels, light red tea after taste",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/2,19,39,2.1,9.54,11.50,19.6,21/9,"Caramel,chocolate ",20,44,2.2,9.14,11.08,20.108,7/9,"Orange peels,lemon ",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/3,19,38,2.0,9.72,12.41,19.4,21/9,"sweet Caramel, chocolate",20,41,2.05,9.65,11.62,19.7825,7/9,Fruit tea  mandarin,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/4,19.5,43,2.2,9.66,11.63,21.3,14/9,"Milk Chocolate,hazelnut, ",20,42,2.1,9.27,11.18,19.467,7/9,"tea finish, grapefruit ",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/5,19,35.6,1.9,10.56,12.66,19.8,21/9,"smoky caramel +, hazelnut ,  silky",20,45,2.25,8.66,10.48,19.485,7/9,Thicker body  grapefruit ,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/6,19.2,42.2,2.2,9.02,10.90,19.8,21/9,"Sweet caramel, Dark chocolate, smoky",20,47,2.35,8.87,10.72,20.8445,7/9,lemon peel little mandarin,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/7,19.7,45,2.3,8.83,10.73,20.2,21/9,"Smooth body, sweet caramel, dark chocolate",20,50,2.5,8.04,9.76,20.1,7/9,"grapefruit skin, black tea",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/8,19,45.9,2.4,9.29,11.20,22.4,21/9,"Milk Chocolate, Alomd, Silky",20,51,2.55,7.15,8.72,18.2325,7/9,"Lemon, Yuzu, Grapefruit Peel",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/9,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/10,19.5,45,2.3,9.34,11.26,21.6,21/9,cheery sweet caramel silky,20,47,2.35,8.32,9.42,19.552,7/9,"yuzu, lemon peels",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/11,20,48,2.4,8.56,10.36,20.5,21/9,"dark chocolate, hazehut ,",20,51,2.55,8.07,9.79,20.5785,7/9,"mandarin, little Yuzi ",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/12,19.3,40.5,2.1,9.85,11.85,20.7,21/9,"Chocolate , hazehut",20,45.8,2.29,8.8,10.6,20.152,7/9,"Yuzu ,lemon peel",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/13,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/14,19,41,2.2,9.64,11.61,20.8,21/9,"dark chocolate ,sweet caramel",20,47.4,2.37,8.31,10.07,19.6947,7/9,"yuzi,  mandarin ",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/15,20,45.6,2.3,8.80,10.60,20.1,28/9,"almond, silky",20,45.5,2.275,8,9.72,18.2,7/9,"Yupik, lemon peels",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/16,20,48.8,2.4,8.20,10.60,20.0,28/9,"almond, dark chocolate",20,46.3,2.315,8.73,10.57,20.20995,7/9,"mandarin , yuzu",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/17,18.8,43,2.3,9.53,11.48,21.8,28/9,Sweet caramel ,20,50,2.5,7.64,9.3,19.1,7/9,"mandarin, orange peels, slightly tea finish",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/18,18.5,43,2.3,8.19,9.94,19.0,28/9,Almond chocolate ,20,43.5,2.175,8.74,10.34,19.0095,7/9,"yuzi, ",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/19,18.7,47,2.5,8.62,10.43,21.7,28/9,"Sweet caramel, milk chocolate",20,39.5,1.975,9.5,11.3,18.7625,7/9,"Yuzi, orange peel, slightly red tea finish",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/20,18.7,47,2.5,8.08,9.80,20.3,28/9,Chocolate,20,51.3,#DIV/0!,7.78,9.46,19.9557,28/9,aftertea  lemon peels,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/21,19,48,2.5,8.70,10.50,22.0,5/10,"sweet caramel, dark chocolate",20,53,1.04743083,7.74,9.4,20.511,28/9,Yuzi orange peels red tea finish,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/22,18.5,46,2.5,8.46,10.25,21.0,5/10,"Milk chocolate , hazelnut ",20,51,2.55,8.01,9.73,20.4255,28/9,"yuzu ,orange peel, tea finish",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/23,18,41,2.3,8.34,10.11,19.0,5/10,"hazelnut,Dark chocolate",20,50.3,2.515,8.07,9.79,20.29605,12/10,"yuzu , slightly tea finish",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/24,18.4,40.8,2.2,8.53,10.33,18.9,5/10,"hazelnut, chocolate",20,50.6,2.53,7.88,9.58,19.9364,12/10,"yuzi, mandarin, tea finish",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/25,19.8,40.1,2.0,9.79,11.78,19.8,5/10,Milk chocolate ,20,47.5,2.375,9.28,11.19,22.04,12/10,"Mandarin, tea finish",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/26,19,42,2.2,9.89,11.89,21.9,5/10,"Caramel ,hazelnut ",20,46,2.3,8.37,10.43,19.251,12/10,"mandarin , tea finish",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/27,19.3,41,2.1,9.56,11.51,20.3,5/10,"chocolate, ",20,48,2.4,7.68,9.34,18.432,12/10,"yuzi ,orange peel",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/28,18.4,43,2.3,9.23,11.14,21.6,12/10,"Carmel, dark  chocolate",20,43,2.15,8.94,10.8,19.221,12/10,"mandarin, tea finish ",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/29,18.5,38.5,2.1,9.53,11.48,19.8,12/10,"hazelnut ,chocolate ",20,44,2.2,8.32,10.09,18.304,12/10,"orange peel,yuzu",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/30,19,38.2,2.0,10.14,12.17,20.4,12/10,"Sweet/Smoky Carmel,dark chocolate ",20,46.5,2.325,8.31,10.07,19.32075,12/10,"Orange peel, yuzu",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/10/31,19,40,2.1,9.15,11.04,19.3,12/10,"hazelnut, sweet caramel, milk chocolate, slightly 甘草",20,47.6,2.38,9.03,10.91,21.4914,12/10,"yuzu , tea finish ",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,